> -L"Dykes"
-55.3993924237	-9.26906658985
-55.3919898238	-9.28256544507
-55.3850226709	-9.29040349011
-55.3815390945	-9.29737064118
-55.3758782828	-9.30564413312
-55.3706529182	-9.31435307199
-55.3680402359	-9.31914298836
-55.3645566595	-9.32828737411
-55.360202189	-9.33612541908
-55.3567186126	-9.34178622934
-55.3545413774	-9.34918882732
-55.3523641422	-9.35441419061
-55.3510578011	-9.36094589469
-55.349316013	-9.3653003641
-55.3458324366	-9.37313840904
-55.3458324368	-9.38010556002
-55.3432197547	-9.39447530899
-55.3410425196	-9.4023133539
-55.3388652844	-9.40928050494
-55.3358171551	-9.416247656
-55.3323335787	-9.42539204175
-55.3301563435	-9.43279463973
-55.3258018731	-9.44280991938
-55.324060085	-9.44934162347
-55.3223182968	-9.45500243369
-55.3201410616	-9.45935690311
-55.3188347206	-9.46806584187
-55.3162220383	-9.47590388679
-55.3140448032	-9.48330648477
-55.3123030149	-9.4854837195
> -L"Dykes"
-56.7806842292	-8.5126251479
-56.7632960849	-8.4919249845
-56.7401118928	-8.47122482139
-56.7293478033	-8.45549269707
-56.722723748	-8.44058857913
-56.7036795902	-8.42320044207
-56.6937435074	-8.40498429799
-56.6821514111	-8.38759616056
-56.6705593143	-8.36109995084
-56.6589672182	-8.34785184626
-56.6374390392	-8.31390357786
-56.6266749499	-8.30065547322
-56.616738867	-8.27829929626
-56.5993507227	-8.2542871065
-56.5844465988	-8.22861890347
-56.564574434	-8.20295070066
-56.5554663582	-8.18721857621
-56.5488423031	-8.17479847794
-56.5413902412	-8.1623783797
> -L"Dykes"
-69.9634282075	-0.216424246142
-69.9244475747	-0.25637347625
-69.9024990005	-0.27842472816
> -L"Dykes"
-69.5822751028	-0.632698101106
-69.5588879738	-0.666492066309
-69.5345767813	-0.706162659398
> -L"Dykes"
-39.4215421156	-9.70386848394
-39.3984743051	-9.74842379091
-39.396187767	-9.77243235121
-39.393901231	-9.78958132266
-39.3893281611	-9.81701967672
-39.3858983596	-9.83416864784
> -L"Dykes"
-39.4994592163	-9.53174811006
-39.4899355889	-9.57693409536
-39.4842192558	-9.59751286034
-39.4659270015	-9.62380794585
-39.4533510769	-9.64095691446
> -L"Dykes"
-39.4133216102	-9.84085330626
-39.4163986712	-9.84611872475
-39.4217361175	-9.85960610731
-39.4384885454	-9.91076740504
-39.4419183357	-9.93020290778
> -L"Dykes"
-39.3155716628	-9.94606038547
-39.3156801592	-9.94979384059
-39.3164735433	-9.95392451341
-39.318066723	-9.9580000654
-39.3203453044	-9.96219017759
