> -L"dykes_equamp"
-39.062780972	-11.889532472
-39.037082793	-11.873352138
-38.993300711	-11.849557527
-38.97807216	-11.841943252
-38.958084688	-11.826714702
-38.942856138	-11.81338972
-38.921916881	-11.800064739
> -L"dykes_equamp"
-39.268085494	-12.274117447
-39.253332835	-12.256509436
-39.238104285	-12.230811257
-39.229062333	-12.212727353
-39.22192395	-12.197498803
-39.210502537	-12.175607761
-39.202888262	-12.158951534
-39.191466849	-12.149909583
-39.17861776	-12.131825679
-39.169099916	-12.1061275
-39.161009748	-12.087091812
-39.152919581	-12.061869525
-39.137691031	-12.029984748
-39.133883893	-12.009045491
-39.132456216	-11.999527647
> -L"dykes_equamp"
-39.441405433	-12.747297063
-39.430459913	-12.733972081
-39.421893853	-12.720647099
-39.421417961	-12.709701579
-39.412851901	-12.694473028
-39.403809949	-12.685431077
-39.396671566	-12.670202526
-39.387629615	-12.660684682
-39.373828741	-12.643076671
-39.365262681	-12.629751689
-39.358124298	-12.611667785
-39.354793053	-12.588349068
-39.349558238	-12.570741056
-39.344323424	-12.562174996
-39.338612718	-12.55218126
-39.338612718	-12.544566985
-39.339564502	-12.532193788
-39.337185041	-12.52410362
-39.329570766	-12.518868806
-39.324811844	-12.504116148
-39.322432383	-12.494122412
-39.317673461	-12.482700999
-39.304824372	-12.469376017
-39.292451174	-12.452243898
-39.279602085	-12.432732318
-39.274367271	-12.427973396
-39.269132456	-12.411793061
-39.26342175	-12.397516295
-39.261042289	-12.386570774
-39.260566397	-12.380860068
-39.25913872	-12.367535086
-39.256283367	-12.359444919
-39.250096768	-12.349927075
-39.247241415	-12.33374674
-39.24391017	-12.316138728
-39.242958385	-12.308048561
-39.242482493	-12.299006609
-39.236771787	-12.290916442
-39.232488757	-12.28187449
-39.227253943	-12.271880754
-39.22439859	-12.258555772
-39.222019129	-12.24951382
-39.218211991	-12.229050456
-39.216784314	-12.217153151
> -L"dykes_equamp"
-39.637720327	-12.786610828
-39.627012753	-12.725934572
-39.61987437	-12.709278345
-39.609166795	-12.678345352
-39.587751646	-12.614099905
-39.566336497	-12.553423649
-39.552059731	-12.495126855
-39.543731617	-12.457055478
-39.540162426	-12.434450599
-39.528265121	-12.41422518
-39.515178085	-12.376153804
-39.500306454	-12.342920666
-39.473537518	-12.307149435
> -L"dykes_equamp"
-39.443080417	-12.746548636
-39.428803651	-12.729654463
-39.423806783	-12.716091535
-39.419523753	-12.704670122
-39.400963957	-12.676830428
-39.390256383	-12.663267501
-39.373124263	-12.641138513
> -L"dykes_equamp"
-39.030872119	-12.415430205
-39.005292913	-12.37973829
-38.992205878	-12.360107737
> -L"dykes_equamp"
-39.109152719	-11.925276403
-39.081788917	-11.843779864
-39.071081343	-11.803329027
-39.047286733	-11.745032232
-39.033009967	-11.712314643
-39.026466449	-11.677812459
-39.007430761	-11.637956487
-38.985420747	-11.608213224
-38.972928576	-11.577875096
-38.948539101	-11.547536969
-38.9348572	-11.518388571
-38.915821512	-11.482101791
-38.905113938	-11.450573933
> -L"dykes_equamp"
-38.905708803	-11.452358528
-38.89857042	-11.426184457
-38.881319328	-11.395846329
-38.878345001	-11.376810641
-38.857524718	-11.338739265
> -L"dykes_equamp"
-39.295940408	-11.743247636
-39.278689316	-11.711124913
-39.263817684	-11.678407324
-39.241212805	-11.614161877
-39.222177117	-11.539208855
-39.209684946	-11.510655323
-39.188269797	-11.449979067
-39.165664918	-11.382759294
> -L"dykes_equamp"
-39.334606649	-12.283385285
-39.294155812	-12.238770391
> -L"dykes_equamp"
-39.292449089	-11.734807386
-39.307164254	-11.788680193
-39.330958864	-11.85411537
-39.341666439	-11.911222434
-39.360702127	-11.963570577
-39.377358354	-12.004021414
-39.388065928	-12.017108449
> -L"dykes_equamp"
-39.388065928	-12.017108449
-39.391202772	-12.026772476
-39.394771963	-12.036409293
-39.400839589	-12.047116867
-39.406550295	-12.056039846
> -L"dykes_equamp"
-38.5758785482	-6.20594657559
-38.5501803693	-6.18881445635
-38.5030670414	-6.16454395409
-38.4645197731	-6.14027345183
-38.4274001814	-6.11314759636
-38.3888529131	-6.09316012391
-38.3260351426	-6.05746820883
-38.2946262573	-6.04461911939
-38.263217372	-6.03034235336
-38.2232424271	-6.01178255751
-38.180412129	-5.98322902544
-38.1418648607	-5.95467549337
-38.0562042645	-5.93040499111
> -L"dykes_equamp"
-38.726090961	-5.971069184
-38.715383386	-5.962146205
-38.700511755	-5.955007822
-38.688019585	-5.947274574
-38.680286336	-5.935972134
-38.671363358	-5.925859424
-38.661250648	-5.91634158
-38.652922535	-5.915746715
-38.640430364	-5.91515185
-38.625558733	-5.907418602
-38.613066563	-5.900280219
-38.598789797	-5.893141836
-38.589271953	-5.886003453
-38.574400322	-5.877080474
-38.555959499	-5.865778034
-38.533949484	-5.858044786
-38.526216236	-5.85507046
-38.51074974	-5.853285864
-38.498852435	-5.849121807
-38.481601342	-5.84376802
-38.466134846	-5.836629637
-38.453642675	-5.831870715
-38.436391583	-5.826516927
-38.420330221	-5.825327197
-38.412596973	-5.829491254
-38.391181824	-5.824137466
-38.365602618	-5.819378544
-38.349541256	-5.814381676
-38.33526449	-5.809146862
-38.326698431	-5.805339725
-38.315277018	-5.799629018
-38.304331497	-5.799629018
-38.297669007	-5.803912048
-38.290054731	-5.799153126
-38.280060995	-5.799629018
-38.274826181	-5.803436156
-38.266736013	-5.80010491
-38.25293514	-5.797725449
-38.246272649	-5.797725449
-38.234375344	-5.798201342
-38.227712853	-5.80010491
-38.222478039	-5.80010491
-38.212484303	-5.797725449
-38.204394135	-5.795345988
-38.199159321	-5.789635282
-38.190117369	-5.786779929
-38.167750436	-5.782021007
-38.149666532	-5.780117438
