> -L"camp300" 300
-56.7133557569 -4.47809836778 300
-56.960064201 -4.58500536025 300
-57.0587475787 -4.74947765637 300
-57.0094058899 -4.81526657481 300
-56.5488834608 -4.6590178935 300
-56.4255292387 -4.42053306414 300
-56.6393432236 -4.42053306414 300
-56.7133557569 -4.48632198258 300
> -L"camp300" 300
-57.4566747428 -4.07027127615 300
-57.7126866938 -4.11178672766 300
-58.0171333382 -4.15330217917 300
-58.4945610306 -4.07719051807 300
-58.9027963038 -3.99415961505 300
-59.0481003841 -4.02183658272 300
-59.0757773517 -4.11178672766 300
-58.882038578 -4.25709080795 300
-58.6813805624 -4.3539601948 300
-58.286983773 -4.44391033974 300
-58.037891064 -4.49234503317 300
-57.8372330483 -4.56845669427 300
-57.5397056458 -4.36779867864 300
-57.4359170171 -4.22249459835 300
-57.3805630817 -4.11870596958 300
-57.4635939847 -4.06335203423 300
> -L"camp300" 300
-55.235598087 -2.4373301834 300
-55.657671844 -2.61031123136 300
-55.9206030369 -2.77637303741 300
-56.335757552 -3.03930423031 300
-56.7370735833 -3.26763921361 300
-56.9515700828 -3.4129432939 300
-57.0622779535 -3.66203600296 300
-57.1245511307 -3.89037098627 300
-57.1522280984 -4.06335203423 300
-57.2975321787 -4.25017156603 300
-57.4220785332 -4.39547564631 300
-57.4359170171 -4.48542579125 300
-57.1799050661 -4.47158730742 300
-56.764750551 -4.31244474329 300
-56.4879808742 -4.2017368726 300
-56.1835342298 -4.08410975999 300
-55.6369141183 -3.77966311558 300
-55.2771135385 -3.76582463174 300
-54.5921085886 -3.74506690598 300
-54.3153389119 -3.7519861479 300
-53.9832152998 -3.71738993831 300
-53.7687188003 -3.62743979337 300
-53.3189680756 -3.58592434186 300
-52.9314905282 -3.53057040651 300
-52.5301744969 -3.40602405198 300
-52.350274207 -3.26763921361 300
-52.1703739172 -3.01162726263 300
-52.0942622561 -2.68642289247 300
-52.3294281138 -2.31119519005 300
-52.59021993 -2.1482003049 300
-52.9407947621 -2.18579036139 300
-53.4983151107 -2.39817906561 300
-53.6310580509 -2.55747059377 300
-53.8080486377 -2.769859298 300
-54.0823840473 -2.61941729917 300
-54.1974279288 -2.44242671232 300
-54.5514091025 -2.50437341772 300
-54.7637978067 -2.53092200575 300
-54.9407883936 -2.46897530035 300
-55.2062742738 -2.43357718298 300
> -L"camp300" 300
-63.7460700894 -2.59286871114 300
-63.2416469169 -2.53092200575 300
