> -L"parana_flood500_zalan1987" 500
-47.845067477 -19.1165404566 500
-48.3066538311 -18.991787388 500
-49.2473754159 -19.1275728689 500
-50.0955278655 -19.548686694 500
-51.7057020434 -20.221792293 500
-52.1544391094 -20.419764528 500
-52.6921644851 -20.4699085156 500
-53.1970928804 -20.670529359 500
-53.7910095854 -20.908096041 500
-54.2309269642 -21.256947601 500
-54.4151799085 -21.5971068827 500
-54.4435265153 -21.9126124905 500
-54.5021252508 -22.0444596455 500
-54.721870509 -22.2495552198 500
-54.7804692446 -22.4107017425 500
-54.8244182962 -22.7036954201 500
-54.7951189285 -22.8941413105 500
-54.7951189285 -23.1138865688 500
-54.8242228702 -23.310648811 500
-54.9600412652 -23.5240777174 500
-55.0376517766 -23.7666105656 500
-55.0764570323 -23.9606368441 500
-55.0056727376 -24.601085494 500
-54.880298341 -24.8439983874 500
-54.6844008463 -25.0634035814 500
-54.4336520532 -25.2044497775 500
-54.2220827589 -25.2828087754 500
-54.0653647632 -25.4003472722 500
-54.0254513902 -25.5858461182 500
-54.0803738757 -25.7849401283 500
-54.1490269826 -25.9359769635 500
-54.2726025751 -26.1213403521 500
-54.4236394103 -26.4165487119 500
-54.5060231386 -26.7598142465 500
-54.4893117299 -26.9866305831 500
-54.4848416671 -27.2028037204 500
-54.4091176538 -27.4583308215 500
-54.3533985511 -27.662634198 500
-54.2925204954 -27.8568527525 500
-54.1698208215 -28.4075049476 500
-54.1369013968 -28.814508744 500
-54.0800405723 -29.0868421666 500
-53.9453701985 -29.3382268644 500
-53.8376338995 -29.5118020128 500
-53.2660329796 -29.4639192132 500
-52.3951645623 -29.493845963 500
-51.5161862943 -29.506375638 500
-50.7293150445 -29.5364951116 500
-50.0328022157 -29.5176704406 500
-49.9090258975 -29.4098408272 500
-49.8483580556 -29.1671694597 500
-49.7775789068 -29.005388548 500
-49.7674675998 -28.7323832596 500
-49.5854640742 -28.5503797339 500
-49.5045736184 -28.4694892781 500
-49.4236831625 -28.2672631385 500
-49.4034605486 -28.1054822269 500
-49.4742396974 -28.0144804641 500
-49.5551301533 -27.9133673943 500
-49.6157979951 -27.8324769384 500
-49.8382467487 -27.7212525617 500
-50.1213633441 -27.6302507988 500
-50.4247025535 -27.539249036 500
-50.667373921 -27.3976907383 500
-50.9707131303 -27.3370228964 500
-51.1729392699 -27.2055759057 500
-51.2032731909 -26.9325706173 500
-51.122382735 -26.7505670917 500
-50.9909357443 -26.6797879428 500
-50.8696000605 -26.6393427149 500
-50.9504905164 -26.5281183381 500
-51.0718262001 -26.4270052683 500
-51.2942749537 -26.3056695846 500
-51.3953880235 -26.123666059 500
-51.3594543878 -25.8069488907 500
-51.2370304846 -25.6400072046 500
-51.0367004612 -25.3617710611 500
-51.039980886 -25.1122208384 500
-51.2446392951 -24.8685798752 500
-51.371332596 -24.5079912496 500
-51.4103151501 -24.0596918773 500
-51.1666741869 -23.8063052755 500
-50.8060855613 -23.6601206976 500
-50.4942251284 -23.5431730353 500
-50.2213472496 -23.2995320721 500
-49.9696937394 -23.1509418071 500
-49.5045736184 -23.1307191931 500
-49.3731266276 -22.9082704396 500
-49.3529040137 -22.3117033278 500
-49.3731266276 -21.8465832068 500
-49.2720135578 -21.4623535416 500
-49.0616162647 -21.3211674507 500
-48.8861947712 -21.2626936196 500
-48.5439994553 -21.3309065508 500
-48.220437632 -21.3511291648 500
-47.8867645017 -21.3106839369 500
-47.6828884877 -21.2747685446 500
-47.5632026784 -20.9972334205 500
-47.3913104597 -20.7040055181 500
-47.371005816 -20.5137748257 500
-47.3086292817 -20.301694609 500
-47.283678668 -20.0272378579 500
-47.3460552023 -19.8151576412 500
-47.3585305092 -19.5407008901 500
-47.4583329641 -19.266244139 500
-47.8949687045 -19.1165404566 500
> -L"parana_flood500_zalan1987" 500
-51.9161877517 -26.9355117351 500
-51.5989603103 -26.9464506124 500
-51.4348771509 -27.0558393853 500
-51.4895715374 -27.2636780538 500
-51.7083490832 -27.4605778451 500
-51.8724322426 -27.5371499861 500
-52.0146376473 -27.4496389678 500
-52.0365154019 -27.2418002992 500
-52.0036987701 -27.044900508 500
-51.8943099971 -26.9355117351 500
> -L"parana_flood700_zalan1987" 700
-52.2762312975 -20.7324896291 700
-51.1232280505 -20.5366689977 700
-50.3934286813 -20.1998385196 700
-49.6262037034 -19.9097900524 700
-48.718632693 -19.8723644437 700
-48.2414561824 -20.0594924871 700
-47.9794769217 -20.3495409543 700
-48.0356153347 -20.6302330194 700
-48.2133869759 -20.7331534433 700
-48.9899683559 -20.882855878 700
-49.4765012687 -20.995132704 700
-49.7478369316 -21.1916171496 700
-49.8601137577 -21.6313680515 700
-49.934964975 -22.2582469968 700
