> -L"parana500" 500
-47.4360309289 -19.0628819944 500
-48.3093577351 -19.0143638385 500
-49.2473754159 -19.1275728689 500
-50.0883567849 -19.3701636485 500
-51.7864922416 -20.1626268615 500
-52.255501082 -20.2920086106 500
-52.6921644851 -20.4699085156 500
-53.2096914814 -20.5184266715 500
-53.7919093523 -20.8580537628 500
-54.2309269642 -21.256947601 500
-54.4151799085 -21.5971068827 500
-54.4435265153 -21.9126124905 500
-54.5021252508 -22.0444596455 500
-54.721870509 -22.2495552198 500
-54.7804692446 -22.4107017425 500
-54.8244182962 -22.7036954201 500
-54.7951189285 -22.8941413105 500
-54.7951189285 -23.1138865688 500
-54.8242228702 -23.310648811 500
-54.9600412652 -23.5240777174 500
-55.0376517766 -23.7666105656 500
-55.0764570323 -23.9606368441 500
-55.0056727376 -24.601085494 500
-54.880298341 -24.8439983874 500
-54.6844008463 -25.0634035814 500
-54.4336520532 -25.2044497775 500
-54.2220827589 -25.2828087754 500
-54.0653647632 -25.4003472722 500
-54.0254513902 -25.5858461182 500
-54.0803738757 -25.7849401283 500
-54.1490269826 -25.9359769635 500
-54.2726025751 -26.1213403521 500
-54.4236394103 -26.4165487119 500
-54.5060231386 -26.7598142465 500
-54.5420683898 -26.9827009411 500
-54.4848416671 -27.2028037204 500
-54.4628313892 -27.493339389 500
-54.3923984998 -27.7750709465 500
-54.3615841107 -27.8807202806 500
-54.2496922606 -28.4405592911 500
-54.0499234493 -29.2209062103 500
-53.9313107176 -29.5392877534 500
-53.6523478882 -29.7126113772 500
-52.7140183714 -29.7633318916 500
-51.7756888545 -29.7379716344 500
-51.243123453 -29.8394126632 500
-50.7105580515 -29.8901331777 500
-50.2287131645 -29.8647729205 500
-49.7722285347 -29.3575677762 500
-49.6200669914 -28.977163918 500
-49.4679054481 -28.2163562016 500
-49.4425451909 -27.8866728579 500
-49.6200669914 -27.6330702857 500
-50.0004708496 -27.6077100285 500
-50.3555144506 -27.5569895141 500
-50.6598375371 -27.4555484853 500
-51.2177631958 -27.2526664276 500
-51.3192042247 -26.948343341 500
-51.0909619097 -26.6947407689 500
-51.0067428799 -26.6627242986 500
-50.9898646928 -26.5276988014 500
-51.2092811257 -26.3589169299 500
-51.3105502486 -26.2407696199 500
-51.4962103073 -26.0213531869 500
-51.4455757458 -25.8694495026 500
-51.3611848101 -25.6837894439 500
-51.1586465643 -25.3293475138 500
