longitude,latitude,age_info
0.066666667,20.18333333,Permian?
12.08333333,-18.45,Post-early Cretaceous
-123.7333333,56.45,349
0.05,20.06666667,Permian or younger
-81.01666667,50.75,
15.95,-12.15,Cretaceous
-49.21666667,-24.68333333,
109.9666667,41.75,1580
-104.45,44.48333333,50.5 Ma
-109.7333333,48.16666667,55 Ma
-115.9166667,63.55,1785
13.96666667,-4.266666667,
-13.7,20.8,
16.25,-11.9,
-92,54.8,1824
-60.71666667,-15.5,Cretaceous?
100.1,70.2,
36.25,47.23333333,2190
-55.95,-22.65,128
15.26666667,-12.51666667,Cretaceous
43.26666667,10.4,
-119.95,42.05,
-68.41666667,56.6,Precambrian
31.95,66.06666667,1740-1860 Ma
-96.2,40.3,Pre- Pennsylvanian
15.31666667,-21.96666667,Cambrian-Ordovician
9.283333333,59.28333333,
-75.55,45.46666667,Lower Cretaceous
-105.55,38.26666667,"551 Ma (K-Ar, rie, fenite)"
27.35,-24.68333333,Proterozoic
136.8833333,59.93333333,"290 Ma (K-Ar, bio, nepheline syenite);                  350 Ma (K-Ar, phlo, carbonatite)"
26.2,-25.13333333,
-88.4,37.6,"252 ± 13  Ma   and                269 ± 13 Ma (K-Ar, bio, mica peridotite)"
-107.05,38.25,Cambrian-- 570 Ma
-46.8,-24.13333333,"129.5 Ma (K-Ar, bio, tinguaite)"
16.11666667,-20.8,Jurassic
32.15,-16.46666667,
28.45,-15.88333333,
136.4166667,59.71666667,
63.58333333,30.46666667,"Early Quaternary- <5 Ma (?, mica, sovite)"
29.3,-1.083333333,"803 ± 22 Ma (Rb-Sr, whole rock)"
31.38333333,39.63333333,Tertiary
103.4666667,70.71666667,"238 Ma (K-Ar, phlo)"
33.06666667,67.38333333,
14.75,-20.35,Late Proterozoic
34.45,1.75,
15.25,-12.85,Cretaceous
108.5666667,42.95,Middle Triassic-- 230 Ma
13.7,-17.18333333,Cretaceous
34.51666667,-10.05,
17.41666667,-28.16666667,Cambrian
70.78333333,39.53333333,
-49.2,-24.75,"65.6 and 67.0 Ma (K-Ar, phonolite)"
-75.6,48.56666667,"973 ± 36 Ma  and    978 ± 40 Ma  (K-Ar, bio and horn)"
110.2,32.25,231-278 Ma
15.03333333,-12.18333333,109-130 Ma
-115.5333333,35.48333333,Proterozoic-- 1400 Ma
104,44.33333333,Late Mesozoic
-45.41666667,61.18333333,Gardar
32.83333333,-7.7,Proterozoic
100.5166667,53.51666667,675-720 Ma  (various)
32.85,-10.15,"Late Proterozoic-- 679 ± 25 Ma  (K-Ar, phlo, carbonatite)"
133.2333333,-22.58333333,
27.5,-25.05,
-114,45.4,"90-99 Ma (Pb-alpha, mon)"
34.71666667,-15.41666667,
16.76666667,-20.03333333,Early Cretaceous-- 126.6 ± 7.3 Ma (Rb-Sr)
16.25,-20.76666667,
31.11666667,-23.98333333,Early Proterozoic
-51.7,65.38333333,169 ± 7 Ma to         176 ± 7 Ma  (K-Ar)
-113.3333333,45.5,
-46.78333333,-19.03333333,"82.7 ± 4.2 Ma    and      78.7 ± 4.0 Ma  (K-Ar, bio, bebedourite)"
-133.1683333,56.32,
17.95,-30.88333333,
30.51666667,-6.8,
-51.25,66.5,598-604 Ma  (various)
27.66666667,63.08333333,Late Archean-- 2580 (U-Pb)
34.38333333,-0.466666667,"12.7 ± 0.6 Ma (K-Ar, bio, sovite)"
33.26666667,-9.35,Early to Middle Cretaceous
-79.95,46.45,
-71.06666667,48.55,Late Proterozoic-- 629-656 Ma (various)
-4.65,32.56666667,Tertiary
31.66666667,66.28333333,Proterozoic?
35.8,-15.53333333,"Late Jurassic-Early Cretaceous-- 133 ± 7 Ma  (K-Ar, bio, sovite)"
-81.71666667,46.58333333,"Proterozoic-- 1560 Ma  (K-Ar, mic)"
100.4166667,53.45,"Late Proterozoic-- 725 ± 25 Ma  (K-Ar, arf, carbonatite)"
12.93333333,-16.3,
60.56666667,55.98333333,
30.11666667,6.8,"380-402 Ma (K-Ar, phlo & bio, clinpyroxenite)"
79,39.5,Hercynian?
117.2,34.75,"110 Ma (K-Ar, musc, vein)"
27.43333333,-25.43333333,
-105.4,38.2,Cambrian
118.5,27.83333333,
102,25.5,Proterozoic
110.8333333,38.33333333,134.8 Ma (K-Ar)
-49.08333333,-27.8,Early Cretaceous
-46.93333333,-19.63333333,"87.2 ± 4.4 Ma (K-Ar, bio, glimmerite)"
29.28333333,0.6,
34.26666667,0.883333333,Tertiary
35.16666667,-0.183333333,Probably 5-19 Ma
-51.75,-16,Post-Devonian
-82.81666667,49.3,"1740 Ma (K-Ar, bio)"
-47.78333333,-18.25,"82.9 ± 4.2 Ma  (K-Ar, alkali syenite)"
-47.86666667,-18.03333333,"87.1 Ma (fission track, apatite)"
-65.16666667,6,
35.6,-15.33333333,Early Cretaceous
31.26666667,-15.53333333,
30.01666667,-15.18333333,Cretaceous
34.91666667,-15.13333333,"Late Cretaceous- 123 ± 6 Ma (K-Ar, phlo)"
34.91666667,-15.28333333,
29.45,-3.5,Precambrian
36.18333333,-12.38333333,
11.7,-0.7,Late Proterozoic
-92.86666667,34.45,90-105 Ma; Mid-Cretaceous  (various)
-54.21666667,-0.466666667,Proterozoic
-53.4,-0.533333333,
-83.4,50.31666667,
-57.41666667,-1.883333333,"1026 ± 28 Ma  (K-Ar, fld)"
33.23333333,-9,
-66.4,0.633333333,Cretaceous
122.55,-28.86666667,2064 Ma
-39.25,-4.416666667,
-74,45.5,"117 Ma, average (K-Ar)"
34.33333333,-0.533333333,4.1-11 Ma
29.16666667,66.95,
32.13333333,68.71666667,"383-388 Ma  (K-Ar, phlo, carbonatite)"
-46.83333333,-18.91666667,Cretaceous
29.25,67.75,334-392 Ma; Holocene
34.15,0.65,Cretaceous-Early Miocene?
