BE 1,204,K-Ar,Basalto,-1,-54.0075,,,,,,,
BE 13,130,K-Ar,Diabasio,-1.8,-53.7753,,,,,,,
BE2,213,K-Ar,Diabasio,-1,-51.2843,,,,,,,
BE3,171,K-Ar,Diabasio,-3.6301,-53.5055,,,,,,,
BE4,130,K-Ar,Diabasio,-3.7557,-53.615,,,,,,,
BE5,188,K-Ar,Diabasio,-3.7135,-53.5327,,,,,,,
C 146.1,210,K-Ar,Diabasio,-6.1167,-50.2667,,,,,,,
C 147.1,203,K-Ar,Diabasio,-5.5,-50.8333,,,,,,,
C 148.1,105,K-Ar,Gabro,-4.1,-49.7,,,,,,,
C 87.1,210,K-Ar,Basalto,-6.1167,-50.8167,,,,,,,
C230,160,K-Ar,Gabro,-6.18,-49.72,,,,,,,
C49.1,225,K-Ar,Diabasio,-5.5833,-49.4667,,,,,,,
CB 58,123,K-Ar,Basalto,-14.6692,-57.3389,,,,,,,
CB 59,126,K-Ar,Basalto,-14.6125,-57.4518,,,,,,,
CB60,112,"Rb,Sr",Granito,-15.2714,-58.3839,,,,,,,
GP19,140,K-Ar,Diabasio,-12.5477,-61.6213,,,,,,,
GP21.1,151,K-Ar,Basalto,-12.5802,-61.4481,,,,,,,
GP22,178,K-Ar,Basalto,-12.5441,-61.0065,,,,,,,
GP25,150,K-Ar,Basalto,-12.5254,-61.4158,,,,,,,
JA 1.2,238,K-Ar,Sienito,-7.3272,-73.6009,,,,,,,
JU 3,216,K-Ar,Diabasio,-4.838,-66.2847,,,,,,,
M 10,207,K-Ar,Diabasio,2.1833,-51.3167,,,,,,,
M 11,224,K-Ar,Diabasio,3.7833,-51.5,,,,,,,
M 12,227,K-Ar,Diabasio,3.6333,-51.3333,,,,,,,
M 14,176,K-Ar,Diabasio,2.2167,-51.1,,,,,,,
MN3,248,K-Ar,Diabasio,-0.2,-65.7,,,,,,,
MN4,209,K-Ar,Diabasio,-2.1208,-61.276,,,,,,,
MN5,165,K-Ar,Basalto,-3.7833,-62.5833,,,,,,,
PU 33,218,K-Ar,Diabasio,-7.1546,-60.269,,,,,,,
PU 34,222,K-Ar,Diabasio,-7.2699,-60.6501,,,,,,,
PU 35,179,K-Ar,Diabasio,-7.3421,-60.6606,,,,,,,
RR 72.1,152,K-Ar,Basalto,2.9167,-60.7333,,,,,,,
RR 74,179,K-Ar,Basalto,3.1667,-60.1333,,,,,,,
RR 76,161,K-Ar,Basalto,2.4833,-60.8,,,,,,,
RR 77,151,K-Ar,Basalto,3.3333,-60.1833,,,,,,,
RR 78,151,K-Ar,Basalto,2.79,-61,,,,,,,
RR 79,148,K-Ar,Basalto,2.7167,-60.9167,,,,,,,
RR 81,127,K-Ar,Basalto,4.3167,-60.1667,,,,,,,
SA 58,232,K-Ar,Basalto,-2.3,-54.7333,,,,,,,
SA 77.3,249,K-Ar,Diabasio,-1.5446,-55.8886,,,,,,,
SA 78,181,K-Ar,Diabasio,-3.9155,-57.8426,,,,,,,
SA 79,175,K-Ar,Diabasio,-2.0245,-54.5005,,,,,,,
SA 80,130,K-Ar,Diabasio,-2.1088,-54.1338,,,,,,,
SA39,135,K-Ar,Diabasio,-1.9,-54.0167,,,,,,,
SA40,175,K-Ar,Diabasio,-1.5833,-55.0333,,,,,,,
SA41,183,K-Ar,Diabasio,-1.4167,-54.65,,,,,,,
SA42,143,K-Ar,Diabasio,-1.4167,-56.5333,,,,,,,
SA43,196,K-Ar,Diabasio,-3.1833,-59.7333,,,,,,,
SA59,140,K-Ar,Basalto,-2.3,-54.73333,,,,,,,
SA60,126,"Rb,Sr",Granodiorito,-1.1667,-56.0667,,,,,,,
T77,168,K-Ar,Diabasio,-9.9333,-49.0333,,,,,,,
T78,197,K-Ar,Diabasio,-8.75,-49.4667,,,,,,,
T99,175,K-Ar,Diabasio,-9.8945,-49.0147,,,,,,,
TP 91,180,K-Ar,Diabasio,-7.4707,-57.8243,,,,,,,
TP58,179,K-Ar,Diabasio,-7.2052,-60.4084,,,,,,,
TP90,148,K-Ar,Diabasio,-4.3598,-55.8816,,,,,,,
TU40,201,K-Ar,Diabasio,2.0033,-54.5667,,,,,,,
TU44,201,K-Ar,Gabro,4.45,-59.8333,,,,,,,
TU47,146,K-Ar,Basalto,3.5906,-59.9833,,,,,,,
