>anchorPlateId 0
>reconstructionTime 0
>SA_hotspot_motionpath.gpml
>Muller_etal_Global_250-0Ma_Rotations_2019_v2.rot Seton_etal_ESR2012_2012.1.rot Muller_etal_2016_Global_EarthByte_230-0Ma_GK07_AREPS.rot Matthews_etal_GPC_2016_410-0Ma_GK07.rot 1000_0_rotfile_Merdith_et_al.rot
>MotionPath <identity>GPlates-156c324e-8957-42a1-aade-c450ede9ffd5</identity> <revision>GPlates-750d136e-e351-45a0-b166-9d1af0ae9c76</revision>
> Recostruction plate id: 0
> Relative plate id: 201
> 0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230
> Motion path
  -57.481902      18.939290      230.000000
  -58.481438      14.327451      220.000000
  -60.380570       7.007880      210.000000
  -62.052906       0.971189      200.000000
  -62.933548      -2.137917      190.000000
  -62.484057      -0.461426      180.000000
  -61.348277       4.226665      170.000000
  -61.063066       5.499868      160.000000
  -60.729636       7.074646      150.000000
  -61.175322       6.952554      140.000000
  -60.450129       7.660186      130.000000
  -59.855575       7.003484      120.000000
  -56.001013       7.919979      110.000000
  -52.129864       9.287968      100.000000
  -50.063852       7.805222      90.000000
  -47.487026       6.695958      80.000000
  -44.042794       5.974397      70.000000
  -41.242134       4.541106      60.000000
  -39.243508       5.132005      50.000000
  -37.045934       5.119616      40.000000
  -34.287509       4.805703      30.000000
  -31.836398       4.692389      20.000000
  -29.515486       4.887179      10.000000
  -27.644084       5.202517       0.000000
>
> Motion path
  -60.903170       9.279219      230.000000
  -62.077559       4.748822      220.000000
  -64.149225      -2.486707      210.000000
  -65.879624      -8.502370      200.000000
  -66.989363      -11.524945      190.000000
  -66.319188      -9.934643      180.000000
  -64.673319      -5.430805      170.000000
  -64.914265      -3.960571      160.000000
  -64.795888      -2.296937      150.000000
  -65.111460      -2.474046      140.000000
  -64.795922      -1.586628      130.000000
  -64.423606      -2.134918      120.000000
  -60.599386      -1.205139      110.000000
  -56.441906       0.021625      100.000000
  -54.240286      -1.519146      90.000000
  -51.625026      -2.643828      80.000000
  -48.314499      -3.304483      70.000000
  -45.747387      -4.626296      60.000000
  -43.805474      -4.007462      50.000000
  -41.529500      -4.058488      40.000000
  -38.698396      -4.407411      30.000000
  -36.130693      -4.575540      20.000000
  -33.751465      -4.407518      10.000000
  -31.944976      -4.062456       0.000000
>
> Motion path
  -42.581818       6.525044      230.000000
  -43.938721       1.762232      220.000000
  -46.014640      -5.594262      210.000000
  -47.485917      -11.469319      200.000000
  -48.433034      -14.768087      190.000000
  -47.830103      -12.844815      180.000000
  -46.328931      -7.594792      170.000000
  -46.756468      -7.170153      160.000000
  -46.765033      -5.970688      150.000000
  -47.030187      -5.896610      140.000000
  -46.895302      -5.811700      130.000000
  -46.607036      -6.767939      120.000000
  -42.824316      -5.922085      110.000000
  -38.562262      -4.183055      100.000000
  -36.272146      -5.425322      90.000000
  -33.610036      -6.441924      80.000000
  -30.328652      -7.334432      70.000000
  -27.804869      -9.056750      60.000000
  -25.916165      -8.569106      50.000000
  -23.602699      -8.467614      40.000000
  -20.725053      -8.664581      30.000000
  -18.102317      -8.603257      20.000000
  -15.707767      -8.330116      10.000000
  -13.941225      -8.121576       0.000000
>
> Motion path
  -55.972742      -6.504591      230.000000
  -57.497445      -11.141196      220.000000
  -59.859153      -18.474248      210.000000
  -61.565262      -24.511743      200.000000
  -62.992495      -27.625174      190.000000
  -61.970154      -25.943929      180.000000
  -59.557683      -21.200135      170.000000
  -60.750450      -19.985597      160.000000
  -61.032104      -18.410926      150.000000
  -61.115526      -18.534697      140.000000
  -61.536319      -17.804547      130.000000
  -61.571174      -18.427575      120.000000
  -57.799854      -17.505288      110.000000
  -53.117401      -16.180600      100.000000
  -50.676216      -17.674918      90.000000
  -47.987432      -18.786585      80.000000
  -44.914614      -19.498468      70.000000
  -42.769821      -20.902104      60.000000
  -40.938422      -20.300843      50.000000
  -38.515482      -20.326770      40.000000
  -35.546367      -20.651633      30.000000
  -32.761000      -20.778771      20.000000
  -30.276317      -20.589188      10.000000
  -28.592565      -20.267753       0.000000
>
> Motion path
  -39.362300      -2.375203      230.000000
  -40.693690      -7.129297      220.000000
  -42.564704      -14.427603      210.000000
  -43.695445      -20.203150      200.000000
  -44.610813      -23.516905      190.000000
  -43.937980      -21.548576      180.000000
  -42.317018      -16.206841      170.000000
  -43.292815      -16.005208      160.000000
  -43.591714      -14.905318      150.000000
  -43.729625      -14.786261      140.000000
  -44.017911      -14.842214      130.000000
  -43.910334      -15.854700      120.000000
  -40.205504      -15.028630      110.000000
  -35.735940      -13.225035      100.000000
  -33.241854      -14.406124      90.000000
  -30.482573      -15.393822      80.000000
  -27.286688      -16.317803      70.000000
  -24.904843      -18.091005      60.000000
  -23.107911      -17.629027      50.000000
  -20.716164      -17.503816      40.000000
  -17.748335      -17.673717      30.000000
  -15.005439      -17.573658      20.000000
  -12.566799      -17.284807      10.000000
  -10.881729      -17.102224       0.000000
>
> Motion path
  -39.922349      -22.261490      230.000000
  -41.164809      -27.017990      220.000000
  -42.564640      -34.321329      210.000000
  -42.874988      -40.084476      200.000000
  -43.805256      -43.399540      190.000000
  -42.861051      -41.421547      180.000000
  -40.808251      -36.055198      170.000000
  -43.284401      -35.898933      160.000000
  -44.336512      -34.787750      150.000000
  -44.133979      -34.676653      140.000000
  -45.539603      -34.688689      130.000000
  -45.940995      -35.665621      120.000000
  -42.406271      -34.823653      110.000000
  -37.342043      -33.064723      100.000000
  -34.350787      -34.274594      90.000000
  -31.361607      -35.271944      80.000000
  -28.421128      -36.185948      70.000000
  -26.487869      -37.936496      60.000000
  -24.917660      -37.459118      50.000000
  -22.310666      -37.348052      40.000000
  -19.106937      -37.531646      30.000000
  -16.035207      -37.446791      20.000000
  -13.467065      -37.162711      10.000000
  -11.995761      -36.971632       0.000000
>
