>anchorPlateId 0
>reconstructionTime 0
>SA_hotspot_motionpath.gpml
>Muller_etal_Global_250-0Ma_Rotations_2019_v2.rot Seton_etal_ESR2012_2012.1.rot Muller_etal_2016_Global_EarthByte_230-0Ma_GK07_AREPS.rot Matthews_etal_GPC_2016_410-0Ma_GK07.rot 1000_0_rotfile_Merdith_et_al.rot
>MotionPath <identity>GPlates-156c324e-8957-42a1-aade-c450ede9ffd5</identity> <revision>GPlates-750d136e-e351-45a0-b166-9d1af0ae9c76</revision>
> Recostruction plate id: 0
> Relative plate id: 201
> 0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230
> Motion path
  -51.019019      25.931354      230.000000
  -50.777302      24.744675      220.000000
  -51.101853      20.096190      210.000000
  -51.661687      14.822179      200.000000
  -52.361703      10.053346      190.000000
  -53.296593       7.242905      180.000000
  -53.240251       6.993434      170.000000
  -51.749640      12.277405      160.000000
  -51.454444      14.000428      150.000000
  -53.530478      13.410500      140.000000
  -54.873521      12.130178      130.000000
  -55.020851      10.668383      120.000000
  -51.058436      10.926646      110.000000
  -48.681292      10.384944      100.000000
  -47.808223       8.857353      90.000000
  -46.384199       7.371133      80.000000
  -44.042794       5.974397      70.000000
  -41.242134       4.541106      60.000000
  -39.243508       5.132005      50.000000
  -37.045934       5.119616      40.000000
  -34.287509       4.805703      30.000000
  -31.836398       4.692389      20.000000
  -29.515486       4.887179      10.000000
  -27.644084       5.202517       0.000000
>
> Motion path
  -55.321367      16.536332      230.000000
  -54.778839      15.247241      220.000000
  -55.290318      10.713483      210.000000
  -56.033793       5.558121      200.000000
  -56.940986       0.912108      190.000000
  -57.169387      -2.210125      180.000000
  -57.229801      -2.410822      170.000000
  -56.112883       3.023336      160.000000
  -55.800300       4.729371      150.000000
  -57.474627       3.969579      140.000000
  -59.376408       2.942514      130.000000
  -59.569458       1.509596      120.000000
  -55.594590       1.760684      110.000000
  -53.115614       1.172197      100.000000
  -52.062306      -0.434351      90.000000
  -50.558115      -1.953631      80.000000
  -48.314499      -3.304483      70.000000
  -45.747387      -4.626296      60.000000
  -43.805474      -4.007462      50.000000
  -41.529500      -4.058488      40.000000
  -38.698396      -4.407411      30.000000
  -36.130693      -4.575540      20.000000
  -33.751465      -4.407518      10.000000
  -31.944976      -4.062456       0.000000
>
> Motion path
  -36.889992      12.245524      230.000000
  -36.315875      11.455553      220.000000
  -37.194450       6.595839      210.000000
  -38.185962       1.141942      200.000000
  -39.198439      -3.818378      190.000000
  -39.074805      -5.522426      180.000000
  -39.168499      -5.936116      170.000000
  -38.281181      -1.340790      160.000000
  -37.951136       0.371635      150.000000
  -39.464482       0.363785      140.000000
  -41.610641      -1.681309      130.000000
  -41.818653      -3.174842      120.000000
  -37.839895      -2.905052      110.000000
  -35.306829      -3.289759      100.000000
  -34.149814      -4.517857      90.000000
  -32.577411      -5.841812      80.000000
  -30.328652      -7.334432      70.000000
  -27.804869      -9.056750      60.000000
  -25.916165      -8.569106      50.000000
  -23.602699      -8.467614      40.000000
  -20.725053      -8.664581      30.000000
  -18.102317      -8.603257      20.000000
  -15.707767      -8.330116      10.000000
  -13.941225      -8.121576       0.000000
>
> Motion path
  -51.467609       0.447705      230.000000
  -50.531839      -0.741535      220.000000
  -51.529134      -5.387668      210.000000
  -52.734057      -10.642974      200.000000
  -54.088580      -15.376500      190.000000
  -53.064194      -18.243382      180.000000
  -53.328906      -18.493735      170.000000
  -52.847629      -13.186645      160.000000
  -52.473947      -11.466840      150.000000
  -53.478432      -12.076767      140.000000
  -56.357777      -13.314605      130.000000
  -56.654261      -14.767475      120.000000
  -52.653641      -14.511579      110.000000
  -50.000068      -15.068857      100.000000
  -48.636306      -16.616796      90.000000
  -46.988356      -18.109208      80.000000
  -44.914614      -19.498468      70.000000
  -42.769821      -20.902104      60.000000
  -40.938422      -20.300843      50.000000
  -38.515482      -20.326770      40.000000
  -35.546367      -20.651633      30.000000
  -32.761000      -20.778771      20.000000
  -30.276317      -20.589188      10.000000
  -28.592565      -20.267753       0.000000
>
> Motion path
  -34.595453       3.059375      230.000000
  -33.745394       2.342512      220.000000
  -34.665136      -2.523887      210.000000
  -35.651482      -7.977165      200.000000
  -36.664228      -12.943814      190.000000
  -35.732625      -14.395582      180.000000
  -35.919464      -14.844263      170.000000
  -35.638891      -10.432100      160.000000
  -35.361758      -8.732772      150.000000
  -36.486829      -8.621933      140.000000
  -39.093628      -10.808112      130.000000
  -39.282588      -12.298670      120.000000
  -35.303287      -12.028294      110.000000
  -32.648641      -12.379640      100.000000
  -31.247308      -13.537080      90.000000
  -29.521277      -14.815434      80.000000
  -27.286688      -16.317803      70.000000
  -24.904843      -18.091005      60.000000
  -23.107911      -17.629027      50.000000
  -20.716164      -17.503816      40.000000
  -17.748335      -17.673717      30.000000
  -15.005439      -17.573658      20.000000
  -12.566799      -17.284807      10.000000
  -10.881729      -17.102224       0.000000
>
> Motion path
  -37.286330      -16.655965      230.000000
  -35.830966      -17.444622      220.000000
  -36.831165      -22.306116      210.000000
  -37.864421      -27.760551      200.000000
  -39.005613      -32.721959      190.000000
  -36.018753      -34.287627      180.000000
  -36.462018      -34.731990      170.000000
  -37.638792      -30.238499      160.000000
  -37.455827      -28.528618      150.000000
  -37.626328      -28.486702      140.000000
  -41.413157      -30.584847      130.000000
  -41.598275      -32.078244      120.000000
  -37.609226      -31.808380      110.000000
  -34.659161      -32.187504      100.000000
  -32.665670      -33.388884      90.000000
  -30.573266      -34.686586      80.000000
  -28.421128      -36.185948      70.000000
  -26.487869      -37.936496      60.000000
  -24.917660      -37.459118      50.000000
  -22.310666      -37.348052      40.000000
  -19.106937      -37.531646      30.000000
  -16.035207      -37.446791      20.000000
  -13.467065      -37.162711      10.000000
  -11.995761      -36.971632       0.000000
>
