>anchorPlateId 0
>reconstructionTime 0
>SA_hotspot_motionpath.gpml
>Muller_etal_Global_250-0Ma_Rotations_2019_v2.rot Seton_etal_ESR2012_2012.1.rot Muller_etal_2016_Global_EarthByte_230-0Ma_GK07_AREPS.rot Matthews_etal_GPC_2016_410-0Ma_GK07.rot 1000_0_rotfile_Merdith_et_al.rot
>MotionPath <identity>GPlates-156c324e-8957-42a1-aade-c450ede9ffd5</identity> <revision>GPlates-750d136e-e351-45a0-b166-9d1af0ae9c76</revision>
> Recostruction plate id: 0
> Relative plate id: 201
> 0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230
> Motion path
  -27.644084       5.202517      230.000000
  -27.644084       5.202517      220.000000
  -27.644084       5.202517      210.000000
  -62.453612      13.834023      200.000000
  -62.882169       9.375302      190.000000
  -63.655052       5.833469      180.000000
  -63.189844       8.414336      170.000000
  -62.725851      10.807514      160.000000
  -62.164054      12.992663      150.000000
  -64.134526      12.338697      140.000000
  -65.391563      12.195338      130.000000
  -65.318151      10.357662      120.000000
  -63.345370      11.595746      110.000000
  -57.798276       9.159061      100.000000
  -54.924787       8.940553      90.000000
  -50.762609       8.605018      80.000000
  -46.323463       8.477353      70.000000
  -43.004320       8.591656      60.000000
  -37.988757       9.538462      50.000000
  -35.260505       7.447230      40.000000
  -32.954661       7.584112      30.000000
  -30.899895       6.801793      20.000000
  -29.110044       6.025936      10.000000
  -27.644084       5.202517       0.000000
>
> Motion path
  -31.944976      -4.062456      230.000000
  -31.944976      -4.062456      220.000000
  -31.944976      -4.062456      210.000000
  -66.372468       4.381017      200.000000
  -67.160843       0.093409      190.000000
  -67.319374      -3.700871      180.000000
  -66.667155      -1.191916      170.000000
  -66.286831       1.227104      160.000000
  -66.079270       3.541760      150.000000
  -67.742371       2.771301      140.000000
  -69.700817       2.916933      130.000000
  -69.826383       1.180468      120.000000
  -68.078829       2.525105      110.000000
  -62.862892       0.278146      100.000000
  -59.766125      -0.062002      90.000000
  -55.149190      -0.624738      80.000000
  -50.504846      -0.846148      70.000000
  -47.271707      -0.693348      60.000000
  -42.891432       0.566537      50.000000
  -40.183377      -1.506835      40.000000
  -37.796474      -1.414138      30.000000
  -35.537628      -2.301242      20.000000
  -33.559486      -3.169311      10.000000
  -31.944976      -4.062456       0.000000
>
> Motion path
  -13.941225      -8.121576      230.000000
  -13.941225      -8.121576      220.000000
  -13.941225      -8.121576      210.000000
  -48.348978       0.813932      200.000000
  -49.268169      -4.050146      190.000000
  -49.117371      -6.568947      180.000000
  -48.482617      -3.800484      170.000000
  -48.153600      -1.609973      160.000000
  -48.061337      -0.002557      150.000000
  -49.624667      -0.192124      140.000000
  -51.844767      -1.344678      130.000000
  -52.052545      -3.421130      120.000000
  -50.430052      -2.526114      110.000000
  -45.376553      -5.367768      100.000000
  -42.143831      -5.271577      90.000000
  -37.289586      -4.953805      80.000000
  -32.554424      -4.781213      70.000000
  -29.359481      -4.795001      60.000000
  -25.315283      -4.773418      50.000000
  -22.569890      -6.839738      40.000000
  -20.140924      -6.592926      30.000000
  -17.749229      -7.063088      20.000000
  -15.653150      -7.543171      10.000000
  -13.941225      -8.121576       0.000000
>
> Motion path
  -28.592565      -20.267753      230.000000
  -28.592565      -20.267753      220.000000
  -28.592565      -20.267753      210.000000
  -62.328536      -11.652994      200.000000
  -63.776587      -16.096633      190.000000
  -62.830528      -19.640929      180.000000
  -61.890649      -17.040590      170.000000
  -61.664853      -14.658102      160.000000
  -62.039495      -12.494357      150.000000
  -63.195930      -13.131621      140.000000
  -66.343020      -13.274510      130.000000
  -66.842905      -15.084842      120.000000
  -65.479626      -13.803564      110.000000
  -60.916134      -16.140704      100.000000
  -57.406011      -16.428227      90.000000
  -51.961236      -16.854718      80.000000
  -46.950139      -17.002432      70.000000
  -43.870071      -16.881278      60.000000
  -40.636539      -15.813641      50.000000
  -37.991760      -17.896993      40.000000
  -35.451150      -17.783663      30.000000
  -32.814868      -18.615461      20.000000
  -30.486638      -19.425319      10.000000
  -28.592565      -20.267753       0.000000
>
  -10.881729      -17.102224      230.000000
  -10.881729      -17.102224      220.000000
  -10.881729      -17.102224      210.000000
  -45.366299      -8.169598      200.000000
  -46.414631      -13.083465      190.000000
  -45.504790      -15.343535      180.000000
  -44.852462      -12.556090      170.000000
  -44.719667      -10.436468      160.000000
  -45.040206      -8.974333      150.000000
  -46.303580      -9.058331      140.000000
  -49.148694      -10.420375      130.000000
  -49.463740      -12.530850      120.000000
  -48.112443      -11.705883      110.000000
  -43.285503      -14.604339      100.000000
  -39.816275      -14.453021      90.000000
  -34.500171      -14.008782      80.000000
  -29.564161      -13.773169      70.000000
  -26.456035      -13.814643      60.000000
  -23.076740      -13.975507      50.000000
  -20.252349      -16.026559      40.000000
  -17.747833      -15.760622      30.000000
  -15.110614      -16.166989      20.000000
  -12.785984      -16.582098      10.000000
  -10.881729      -17.102224       0.000000
>
> Motion path
  -11.995761      -36.971632      230.000000
  -11.995761      -36.971632      220.000000
  -11.995761      -36.971632      210.000000
  -46.489179      -28.035054      200.000000
  -47.947062      -32.927897      190.000000
  -45.081368      -35.233639      180.000000
  -44.354362      -32.444573      170.000000
  -44.721940      -30.330194      160.000000
  -46.075340      -28.844270      150.000000
  -46.587830      -28.950266      140.000000
  -51.014850      -30.238080      130.000000
  -51.653956      -32.322854      120.000000
  -50.952674      -31.426054      110.000000
  -46.813335      -34.241223      100.000000
  -42.739620      -34.170441      90.000000
  -36.224238      -33.840989      80.000000
  -30.761228      -33.637158      70.000000
  -27.879488      -33.666331      60.000000
  -26.203853      -33.665737      50.000000
  -23.275664      -35.736633      40.000000
  -20.563377      -35.494464      30.000000
  -17.306321      -35.964387      20.000000
  -14.395503      -36.424529      10.000000
  -11.995761      -36.971632       0.000000
>
