>anchorPlateId 0
>reconstructionTime 0
>SA_hotspot_motionpath.gpml
>Muller_etal_Global_250-0Ma_Rotations_2019_v2.rot Seton_etal_ESR2012_2012.1.rot Muller_etal_2016_Global_EarthByte_230-0Ma_GK07_AREPS.rot Matthews_etal_GPC_2016_410-0Ma_GK07.rot 1000_0_rotfile_Merdith_et_al.rot Global_250-0Ma_Young_et_al.rot
>MotionPath <identity>GPlates-156c324e-8957-42a1-aade-c450ede9ffd5</identity> <revision>GPlates-750d136e-e351-45a0-b166-9d1af0ae9c76</revision>
> Recostruction plate id: 0
> Relative plate id: 201
> 0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230
> Seed point: Lat: 5.20252, Lon: -27.6441
> Motion path
  -57.479194      18.938070      230.000000
  -58.478653      14.326217      220.000000
  -60.377675       7.006620      210.000000
  -62.049931       0.969908      200.000000
  -62.930536      -2.139209      190.000000
  -62.481065      -0.462713      180.000000
  -61.345344       4.225393      170.000000
  -61.060150       5.498600      160.000000
  -60.726741       7.073382      150.000000
  -61.172427       6.951281      140.000000
  -60.447250       7.658917      130.000000
  -59.855575       7.003484      120.000000
  -56.001013       7.919979      110.000000
  -52.129864       9.287968      100.000000
  -50.063852       7.805222      90.000000
  -47.487026       6.695958      80.000000
  -44.042794       5.974397      70.000000
  -41.242134       4.541106      60.000000
  -39.243508       5.132005      50.000000
  -37.045934       5.119616      40.000000
  -34.287509       4.805703      30.000000
  -31.836398       4.692389      20.000000
  -29.515486       4.887179      10.000000
  -27.644084       5.202517       0.000000
>
> Seed point: Lat: -4.06246, Lon: -31.945
> Motion path
  -60.900303       9.277953      230.000000
  -62.074631       4.747541      220.000000
  -64.146209      -2.488013      210.000000
  -65.876544      -8.503695      200.000000
  -66.986254      -11.526282      190.000000
  -66.316093      -9.935974      180.000000
  -64.670270      -5.432117      170.000000
  -64.911233      -3.961886      160.000000
  -64.792875      -2.298251      150.000000
  -65.108447      -2.475366      140.000000
  -64.792923      -1.587951      130.000000
  -64.423606      -2.134918      120.000000
  -60.599386      -1.205139      110.000000
  -56.441906       0.021625      100.000000
  -54.240286      -1.519146      90.000000
  -51.625026      -2.643828      80.000000
  -48.314499      -3.304483      70.000000
  -45.747387      -4.626296      60.000000
  -43.805474      -4.007462      50.000000
  -41.529500      -4.058488      40.000000
  -38.698396      -4.407411      30.000000
  -36.130693      -4.575540      20.000000
  -33.751465      -4.407518      10.000000
  -31.944976      -4.062456       0.000000
>
> Seed point: Lat: -8.12158, Lon: -13.9412
> Motion path
  -42.578957       6.524074      230.000000
  -43.935767       1.761236      220.000000
  -46.011552      -5.595296      210.000000
  -47.482725      -11.470379      200.000000
  -48.429785      -14.769164      190.000000
  -47.826886      -12.845882      180.000000
  -46.325807      -7.595831      170.000000
  -46.753352      -7.171201      160.000000
  -46.761939      -5.971736      150.000000
  -47.027096      -5.897664      140.000000
  -46.892216      -5.812757      130.000000
  -46.607036      -6.767939      120.000000
  -42.824316      -5.922085      110.000000
  -38.562262      -4.183055      100.000000
  -36.272146      -5.425322      90.000000
  -33.610036      -6.441924      80.000000
  -30.328652      -7.334432      70.000000
  -27.804869      -9.056750      60.000000
  -25.916165      -8.569106      50.000000
  -23.602699      -8.467614      40.000000
  -20.725053      -8.664581      30.000000
  -18.102317      -8.603257      20.000000
  -15.707767      -8.330116      10.000000
  -13.941225      -8.121576       0.000000
>
> Seed point: Lat: -20.2678, Lon: -28.5926
> Motion path
  -55.969659      -6.505789      230.000000
  -57.494298      -11.142416      220.000000
  -59.855912      -18.475501      210.000000
  -61.561945      -24.513018      200.000000
  -62.989146      -27.626466      190.000000
  -61.966820      -25.945209      180.000000
  -59.554399      -21.201384      170.000000
  -60.747194      -19.986861      160.000000
  -61.028873      -18.412194      150.000000
  -61.112294      -18.535969      140.000000
  -61.533103      -17.805830      130.000000
  -61.571174      -18.427575      120.000000
  -57.799854      -17.505288      110.000000
  -53.117401      -16.180600      100.000000
  -50.676216      -17.674918      90.000000
  -47.987432      -18.786585      80.000000
  -44.914614      -19.498468      70.000000
  -42.769821      -20.902104      60.000000
  -40.938422      -20.300843      50.000000
  -38.515482      -20.326770      40.000000
  -35.546367      -20.651633      30.000000
  -32.761000      -20.778771      20.000000
  -30.276317      -20.589188      10.000000
  -28.592565      -20.267753       0.000000
>
> Seed point: Lat: -17.1022, Lon: -10.8817
> Motion path
  -39.359266      -2.376110      230.000000
  -40.690561      -7.130230      220.000000
  -42.561435      -14.428573      210.000000
  -43.692061      -20.204141      200.000000
  -44.607363      -23.517913      190.000000
  -43.934569      -21.549572      180.000000
  -42.313711      -16.207806      170.000000
  -43.289517      -16.006192      160.000000
  -43.588439      -14.906307      150.000000
  -43.726354      -14.787255      140.000000
  -44.014643      -14.843218      130.000000
  -43.910334      -15.854700      120.000000
  -40.205504      -15.028630      110.000000
  -35.735940      -13.225035      100.000000
  -33.241854      -14.406124      90.000000
  -30.482573      -15.393822      80.000000
  -27.286688      -16.317803      70.000000
  -24.904843      -18.091005      60.000000
  -23.107911      -17.629027      50.000000
  -20.716164      -17.503816      40.000000
  -17.748335      -17.673717      30.000000
  -15.005439      -17.573658      20.000000
  -12.566799      -17.284807      10.000000
  -10.881729      -17.102224       0.000000
>
> Seed point: Lat: -36.9716, Lon: -11.9958
> Motion path
  -39.918894      -22.262408      230.000000
  -41.161250      -27.018933      220.000000
  -42.560903      -34.322299      210.000000
  -42.871081      -40.085452      200.000000
  -43.801250      -43.400534      190.000000
  -42.857099      -41.422523      180.000000
  -40.804442      -36.056134      170.000000
  -43.280627      -35.899916      160.000000
  -44.332783      -34.788753      150.000000
  -44.130249      -34.677654      140.000000
  -45.535889      -34.689721      130.000000
  -45.940995      -35.665621      120.000000
  -42.406271      -34.823653      110.000000
  -37.342043      -33.064723      100.000000
  -34.350787      -34.274594      90.000000
  -31.361607      -35.271944      80.000000
  -28.421128      -36.185948      70.000000
  -26.487869      -37.936496      60.000000
  -24.917660      -37.459118      50.000000
  -22.310666      -37.348052      40.000000
  -19.106937      -37.531646      30.000000
  -16.035207      -37.446791      20.000000
  -13.467065      -37.162711      10.000000
  -11.995761      -36.971632       0.000000
>
